{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 8, 1, 49), 'price': 0.07178, 'size': 1000, 'value': 1001.3399999999999, 'cash_remaining': 929.56}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 8, 2, 31), 'price': 0.07162, 'size': 1000, 'value': 1001.3499999999999, 'cash_remaining': 1001.3499999999999}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 8, 3, 1), 'price': 0.07168, 'size': 1000, 'value': 1001.3999999999999, 'cash_remaining': 929.7199999999999}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 8, 6, 29), 'price': 0.07182, 'size': 1000, 'value': 1001.3999999999999, 'cash_remaining': 1001.3999999999999}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 8, 7, 30), 'price': 0.07198, 'size': 1000, 'value': 1001.56, 'cash_remaining': 929.5799999999999}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 8, 7, 49), 'price': 0.07184, 'size': 1000, 'value': 1001.56, 'cash_remaining': 1001.56}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 8, 8, 40), 'price': 0.07182, 'size': 1000, 'value': 1001.53, 'cash_remaining': 929.7099999999999}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 8, 8, 56), 'price': 0.07167, 'size': 1000, 'value': 1001.53, 'cash_remaining': 1001.53}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 8, 9, 30), 'price': 0.07203, 'size': 1000, 'value': 1001.89, 'cash_remaining': 929.86}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 8, 10, 47), 'price': 0.07175, 'size': 1000, 'value': 1001.88, 'cash_remaining': 1001.88}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 8, 13, 30), 'price': 0.07167, 'size': 1000, 'value': 1001.81, 'cash_remaining': 930.14}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 8, 13, 55), 'price': 0.07158, 'size': 1000, 'value': 1001.8199999999999, 'cash_remaining': 1001.8199999999999}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 8, 14, 19), 'price': 0.07184, 'size': 1000, 'value': 1002.09, 'cash_remaining': 930.25}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 8, 16, 18), 'price': 0.07212, 'size': 1000, 'value': 1002.08, 'cash_remaining': 1002.08}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 8, 17, 16), 'price': 0.07202, 'size': 1000, 'value': 1001.98, 'cash_remaining': 929.96}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 8, 17, 52), 'price': 0.07184, 'size': 1000, 'value': 1001.98, 'cash_remaining': 1001.98}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 8, 19, 51), 'price': 0.07193, 'size': 1000, 'value': 1002.06, 'cash_remaining': 930.13}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 8, 21, 58), 'price': 0.07258, 'size': 1000, 'value': 1002.0699999999999, 'cash_remaining': 1002.0699999999999}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 8, 22, 23), 'price': 0.07299, 'size': 1000, 'value': 1002.4799999999999, 'cash_remaining': 929.4899999999999}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 9, 0, 23), 'price': 0.07315, 'size': 1000, 'value': 1002.4799999999999, 'cash_remaining': 1002.4799999999999}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 9, 0, 41), 'price': 0.07362, 'size': 1000, 'value': 1002.9599999999999, 'cash_remaining': 929.3399999999999}
{'type': 'buy', 'datetime': datetime.datetime(2023, 1, 9, 2, 5), 'price': 0.0743, 'size': 1000, 'value': 1002.9599999999999, 'cash_remaining': 1002.9599999999999}
{'type': 'sell', 'datetime': datetime.datetime(2023, 1, 9, 2, 20), 'price': 0.07513, 'size': 1000, 'value': 1003.8, 'cash_remaining': 928.67}
